gameid,side,league,year,patch,teamname,datacompleteness,result,win,golddiffat10,firstdragon,dragons,opp_dragons,firstbaron,barons,opp_barons,towers,opp_towers,visionscore,vspm,killsat10,opp_killsat10,tower_diff,team_vspm,kills_diff_10
ESPORTSTMNT03_2820555,Red,PCS,2022,12.11,Beyond Gaming,complete,1,1,23.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,2.0,384.0,13.9215,0.0,0.0,4.0,13.9215,0.0
ESPORTSTMNT03_2820572,Blue,PCS,2022,12.11,CTBC Flying Oyster,complete,1,1,231.0,1.0,4.0,1.0,1.0,0.0,0.0,10.0,1.0,488.0,16.4034,0.0,0.0,9.0,16.4034,0.0
ESPORTSTMNT03_2820572,Red,PCS,2022,12.11,Frank Esports,complete,0,0,-231.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,10.0,424.0,14.2522,0.0,0.0,-9.0,14.2522,0.0
ESPORTSTMNT03_2820587,Blue,HC,2022,12.11,Team Sampi,complete,0,0,-248.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,8.0,330.0,11.9061,0.0,0.0,-5.0,11.9061,0.0
ESPORTSTMNT03_2820587,Red,HC,2022,12.11,ERKO Esports,complete,1,1,248.0,0.0,2.0,2.0,1.0,0.0,0.0,8.0,3.0,326.0,11.7618,0.0,0.0,5.0,11.7618,0.0
ESPORTSTMNT03_2820591,Blue,HC,2022,12.11,IKISEQ Gaming,complete,1,1,-45.0,0.0,4.0,1.0,1.0,0.0,0.0,10.0,2.0,470.0,16.3478,0.0,0.0,8.0,16.3478,0.0
ESPORTSTMNT03_2820591,Red,HC,2022,12.11,Dark Tigers Academy,complete,0,0,45.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,10.0,304.0,10.574,0.0,0.0,-8.0,10.574,0.0
ESPORTSTMNT03_2820605,Blue,HC,2022,12.11,ERKO Esports,complete,0,0,763.0,1.0,1.0,5.0,0.0,0.0,0.0,4.0,9.0,362.0,10.202,2.0,0.0,-5.0,10.202,2.0
ESPORTSTMNT03_2820605,Red,HC,2022,12.11,Dark Tigers Academy,complete,1,1,-763.0,0.0,5.0,1.0,1.0,0.0,0.0,9.0,4.0,558.0,15.7257,0.0,2.0,5.0,15.7257,-2.0
ESPORTSTMNT03_2820608,Blue,HC,2022,12.11,KIA.eSuba Academy,complete,0,0,375.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,7.0,504.0,15.2342,0.0,0.0,-3.0,15.2342,0.0
ESPORTSTMNT03_2820608,Red,HC,2022,12.11,IKISEQ Gaming,complete,1,1,-375.0,1.0,3.0,3.0,1.0,0.0,0.0,7.0,4.0,508.0,15.3552,0.0,0.0,3.0,15.3552,0.0
ESPORTSTMNT03_2820800,Blue,PCS,2022,12.11,Meta Falcon Team,complete,1,1,-311.0,0.0,4.0,1.0,0.0,0.0,0.0,8.0,3.0,450.0,14.8924,1.0,1.0,5.0,14.8924,0.0
ESPORTSTMNT03_2820800,Red,PCS,2022,12.11,SEM9,complete,0,0,311.0,1.0,1.0,4.0,1.0,0.0,0.0,3.0,8.0,410.0,13.5685,1.0,1.0,-5.0,13.5685,0.0
ESPORTSTMNT03_2820807,Blue,PCS,2022,12.11,Impunity,complete,1,1,-517.0,0.0,2.0,3.0,1.0,0.0,0.0,7.0,4.0,538.0,16.5116,0.0,0.0,3.0,16.5116,0.0
ESPORTSTMNT03_2820807,Red,PCS,2022,12.11,Beyond Gaming,complete,0,0,517.0,1.0,3.0,2.0,0.0,0.0,0.0,4.0,7.0,436.0,13.381,0.0,0.0,-3.0,13.381,0.0
ESPORTSTMNT03_2820811,Blue,PCS,2022,12.11,Frank Esports,complete,0,0,-144.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,10.0,502.0,16.1848,0.0,0.0,-7.0,16.1848,0.0
ESPORTSTMNT03_2820811,Red,PCS,2022,12.11,Deep Cross Gaming,complete,1,1,144.0,1.0,4.0,0.0,1.0,0.0,0.0,10.0,3.0,520.0,16.7652,0.0,0.0,7.0,16.7652,0.0
ESPORTSTMNT03_2820816,Blue,PCS,2022,12.11,CTBC Flying Oyster,complete,1,1,709.0,1.0,4.0,0.0,1.0,0.0,0.0,11.0,1.0,358.0,14.0118,0.0,0.0,10.0,14.0118,0.0
ESPORTSTMNT03_2820816,Red,PCS,2022,12.11,Dewish Team,complete,0,0,-709.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,11.0,270.0,10.5676,0.0,0.0,-10.0,10.5676,0.0
ESPORTSTMNT03_2820823,Blue,PCS,2022,12.11,TALON,complete,1,1,115.0,0.0,1.0,3.0,1.0,0.0,0.0,7.0,1.0,464.0,15.4924,0.0,0.0,6.0,15.4924,0.0
ESPORTSTMNT03_2820823,Red,PCS,2022,12.11,J Team,complete,0,0,-115.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,7.0,430.0,14.3572,0.0,0.0,-6.0,14.3572,0.0
ESPORTSTMNT03_2830004,Blue,PCS,2022,12.11,Frank Esports,complete,1,1,1157.0,0.0,1.0,4.0,0.0,0.0,0.0,9.0,4.0,766.0,20.9195,2.0,0.0,5.0,20.9195,2.0
ESPORTSTMNT03_2830004,Red,PCS,2022,12.11,Impunity,complete,0,0,-1157.0,1.0,4.0,1.0,1.0,0.0,0.0,4.0,9.0,456.0,12.4533,0.0,2.0,-5.0,12.4533,-2.0
ESPORTSTMNT03_2830022,Blue,PCS,2022,12.11,Dewish Team,complete,0,0,-394.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,10.0,250.0,10.5116,0.0,0.0,-9.0,10.5116,0.0
ESPORTSTMNT03_2830022,Red,PCS,2022,12.11,J Team,complete,1,1,394.0,0.0,2.0,1.0,1.0,0.0,0.0,10.0,1.0,338.0,14.2116,0.0,0.0,9.0,14.2116,0.0
ESPORTSTMNT03_2830040,Blue,PCS,2022,12.11,Deep Cross Gaming,complete,0,0,175.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,10.0,340.0,12.7102,0.0,1.0,-8.0,12.7102,-1.0
ESPORTSTMNT03_2830040,Red,PCS,2022,12.11,TALON,complete,1,1,-175.0,1.0,3.0,1.0,1.0,0.0,0.0,10.0,2.0,360.0,13.458,1.0,0.0,8.0,13.458,1.0
ESPORTSTMNT03_2830070,Blue,PCS,2022,12.11,CTBC Flying Oyster,complete,1,1,1045.0,1.0,5.0,0.0,1.0,0.0,0.0,11.0,1.0,462.0,15.0163,1.0,0.0,10.0,15.0163,1.0
ESPORTSTMNT03_2830070,Red,PCS,2022,12.11,Meta Falcon Team,complete,0,0,-1045.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,11.0,336.0,10.921,0.0,1.0,-10.0,10.921,-1.0
ESPORTSTMNT03_2830238,Blue,HC,2022,12.11,Inaequalis,complete,1,1,27.0,0.0,3.0,2.0,1.0,0.0,0.0,11.0,1.0,488.0,16.4126,0.0,0.0,10.0,16.4126,0.0
ESPORTSTMNT03_2830238,Red,HC,2022,12.11,Inside Games Challengers,complete,0,0,-27.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,11.0,304.0,10.2241,0.0,0.0,-10.0,10.2241,0.0
ESPORTSTMNT03_2830264,Blue,HC,2022,12.11,FLY5,complete,0,0,-285.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,6.0,386.0,11.4596,0.0,0.0,-3.0,11.4596,0.0
ESPORTSTMNT03_2830264,Red,HC,2022,12.11,Inaequalis,complete,1,1,285.0,0.0,3.0,2.0,0.0,0.0,0.0,6.0,3.0,458.0,13.597100000000001,0.0,0.0,3.0,13.597100000000001,0.0
ESPORTSTMNT03_2830287,Blue,HC,2022,12.11,Team Sampi,complete,1,1,-418.0,0.0,2.0,3.0,1.0,0.0,0.0,8.0,3.0,310.0,11.3832,0.0,1.0,5.0,11.3832,-1.0
ESPORTSTMNT03_2830287,Red,HC,2022,12.11,Inside Games Challengers,complete,0,0,418.0,1.0,3.0,2.0,0.0,0.0,0.0,3.0,8.0,266.0,9.767299999999999,1.0,0.0,-5.0,9.767299999999999,1.0
ESPORTSTMNT03_2830294,Blue,HC,2022,12.11,KIA.eSuba Academy,complete,0,0,-1879.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,11.0,316.0,10.9468,0.0,0.0,-11.0,10.9468,0.0
ESPORTSTMNT03_2830294,Red,HC,2022,12.11,FLY5,complete,1,1,1879.0,0.0,3.0,2.0,1.0,0.0,0.0,11.0,0.0,354.0,12.2633,0.0,0.0,11.0,12.2633,0.0
ESPORTSTMNT03_2830472,Blue,PCS,2022,12.11,CTBC Flying Oyster,complete,1,1,1260.0,0.0,3.0,2.0,1.0,0.0,0.0,10.0,0.0,388.0,13.1674,0.0,0.0,10.0,13.1674,0.0
ESPORTSTMNT03_2830472,Red,PCS,2022,12.11,Impunity,complete,0,0,-1260.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,10.0,416.0,14.1175,0.0,0.0,-10.0,14.1175,0.0
ESPORTSTMNT03_2830485,Blue,PCS,2022,12.11,Beyond Gaming,complete,1,1,-26.0,0.0,2.0,1.0,1.0,0.0,0.0,11.0,3.0,352.0,13.5038,0.0,0.0,8.0,13.5038,0.0
ESPORTSTMNT03_2830485,Red,PCS,2022,12.11,Dewish Team,complete,0,0,26.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,11.0,372.0,14.271,0.0,0.0,-8.0,14.271,0.0
ESPORTSTMNT03_2830491,Blue,PCS,2022,12.11,TALON,complete,1,1,251.0,1.0,4.0,0.0,0.0,0.0,0.0,9.0,1.0,540.0,17.0527,0.0,0.0,8.0,17.0527,0.0
ESPORTSTMNT03_2830491,Red,PCS,2022,12.11,SEM9,complete,0,0,-251.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,9.0,352.0,11.1158,0.0,0.0,-8.0,11.1158,0.0
ESPORTSTMNT03_2830499,Blue,PCS,2022,12.11,Frank Esports,complete,0,0,109.0,1.0,3.0,1.0,1.0,0.0,0.0,5.0,7.0,510.0,15.8631,0.0,0.0,-2.0,15.8631,0.0
ESPORTSTMNT03_2830499,Red,PCS,2022,12.11,J Team,complete,1,1,-109.0,0.0,1.0,3.0,0.0,0.0,0.0,7.0,5.0,486.0,15.1166,0.0,0.0,2.0,15.1166,0.0
ESPORTSTMNT03_2830504,Blue,PCS,2022,12.11,Meta Falcon Team,complete,0,0,134.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,11.0,346.0,12.2622,0.0,0.0,-10.0,12.2622,0.0
ESPORTSTMNT03_2830504,Red,PCS,2022,12.11,Deep Cross Gaming,complete,1,1,-134.0,1.0,4.0,0.0,1.0,0.0,0.0,11.0,1.0,384.0,13.609,0.0,0.0,10.0,13.609,0.0
ESPORTSTMNT03_2830545,Blue,PCS,2022,12.11,J Team,complete,1,1,-283.0,1.0,3.0,0.0,1.0,0.0,0.0,11.0,0.0,340.0,13.5909,0.0,0.0,11.0,13.5909,0.0
ESPORTSTMNT03_2830545,Red,PCS,2022,12.11,Meta Falcon Team,complete,0,0,283.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,214.0,8.5543,0.0,0.0,-11.0,8.5543,0.0
ESPORTSTMNT03_2830555,Blue,PCS,2022,12.11,TALON,complete,1,1,601.0,1.0,4.0,1.0,1.0,0.0,0.0,9.0,2.0,534.0,15.8772,0.0,0.0,7.0,15.8772,0.0
ESPORTSTMNT03_2830555,Red,PCS,2022,12.11,Dewish Team,complete,0,0,-601.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,9.0,490.0,14.5689,0.0,0.0,-7.0,14.5689,0.0
ESPORTSTMNT03_2830562,Blue,PCS,2022,12.11,Deep Cross Gaming,complete,1,1,737.0,0.0,5.0,1.0,1.0,0.0,0.0,9.0,2.0,642.0,17.1504,0.0,0.0,7.0,17.1504,0.0
ESPORTSTMNT03_2830562,Red,PCS,2022,12.11,CTBC Flying Oyster,complete,0,0,-737.0,1.0,1.0,5.0,0.0,0.0,0.0,2.0,9.0,462.0,12.3421,0.0,0.0,-7.0,12.3421,0.0
ESPORTSTMNT03_2830574,Blue,PCS,2022,12.11,Impunity,complete,1,1,262.0,1.0,3.0,0.0,1.0,0.0,0.0,8.0,1.0,314.0,13.2025,2.0,0.0,7.0,13.2025,2.0
ESPORTSTMNT03_2830574,Red,PCS,2022,12.11,SEM9,complete,0,0,-262.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,8.0,240.0,10.0911,0.0,2.0,-7.0,10.0911,-2.0
ESPORTSTMNT03_2830575,Blue,PCS,2022,12.11,Beyond Gaming,complete,0,0,-434.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,9.0,470.0,13.9121,0.0,0.0,-7.0,13.9121,0.0
ESPORTSTMNT03_2830575,Red,PCS,2022,12.11,Frank Esports,complete,1,1,434.0,1.0,3.0,1.0,1.0,0.0,0.0,9.0,2.0,694.0,20.5426,0.0,0.0,7.0,20.5426,0.0
ESPORTSTMNT03_2880551,Blue,LCSA,2022,12.13,Immortals Academy,complete,0,0,-79.0,1.0,3.0,2.0,1.0,0.0,0.0,5.0,7.0,494.0,14.5293,0.0,0.0,-2.0,14.5293,0.0
ESPORTSTMNT03_2880551,Red,LCSA,2022,12.13,Evil Geniuses Academy,complete,1,1,79.0,0.0,2.0,3.0,0.0,0.0,0.0,7.0,5.0,406.0,11.9412,0.0,0.0,2.0,11.9412,0.0
ESPORTSTMNT03_2880581,Blue,LCSA,2022,12.13,Immortals Academy,complete,0,0,-474.0,1.0,3.0,2.0,0.0,0.0,0.0,3.0,9.0,414.0,12.5265,0.0,0.0,-6.0,12.5265,0.0
ESPORTSTMNT03_2880581,Red,LCSA,2022,12.13,Evil Geniuses Academy,complete,1,1,474.0,0.0,2.0,3.0,1.0,0.0,0.0,9.0,3.0,382.0,11.5583,0.0,0.0,6.0,11.5583,0.0
ESPORTSTMNT03_2880616,Blue,LCSA,2022,12.13,100 Thieves Academy,complete,1,1,188.0,0.0,3.0,2.0,1.0,0.0,0.0,10.0,2.0,476.0,13.7772,0.0,1.0,8.0,13.7772,-1.0
ESPORTSTMNT03_2880616,Red,LCSA,2022,12.13,CLG Academy,complete,0,0,-188.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,10.0,420.0,12.1563,1.0,0.0,-8.0,12.1563,1.0
ESPORTSTMNT03_2880636,Blue,LCSA,2022,12.13,CLG Academy,complete,1,1,-729.0,1.0,4.0,0.0,1.0,0.0,0.0,10.0,1.0,518.0,14.7929,0.0,1.0,9.0,14.7929,-1.0
ESPORTSTMNT03_2880636,Red,LCSA,2022,12.13,100 Thieves Academy,complete,0,0,729.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,10.0,436.0,12.4512,1.0,0.0,-9.0,12.4512,1.0
ESPORTSTMNT03_2880976,Blue,LCSA,2022,12.13,100 Thieves Academy,complete,1,1,-876.0,0.0,3.0,3.0,1.0,0.0,0.0,10.0,2.0,612.0,16.3491,0.0,2.0,8.0,16.3491,-2.0
